DataSource,Name,BasinName,ClassName,Mosaic,MosaicDateStart,MosaicDateEnd,ObservedArea,ObservedAreaWater,PercentObserved,PercentWater,
TNC,Butte Vineyard/Orchard,Butte,Vineyard/Orchard,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,433044000,7287515.357,87.10480963,1.682857944,
TNC,Colusa Unsuitable,Colusa,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,259616700,31610231.25,90.99578243,12.17573109,
TNC,Colusa Grass/Pasture,Colusa,Grass/Pasture,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,349790400,1066848.214,46.18598649,0.304996425,
TNC,Colusa Corn,Colusa,Corn,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,43154100,3584922.321,96.90777906,8.307257761,
TNC,Colusa Field Crop,Colusa,Field Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,265372200,19444250.89,99.56238984,7.327161961,
TNC,Colusa Grains,Colusa,Grains,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,88401600,3405993.75,97.15913587,3.852864371,
TNC,Colusa Alfalfa,Colusa,Alfalfa,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,167232600,4587026.786,98.30492334,2.742902272,
TNC,Colusa Rice,Colusa,Rice,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,959814900,290581250.9,99.99981246,30.27471765,
TNC,Colusa Row Crop,Colusa,Row Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,41707800,3857271.429,100,9.248321486,
TNC,Colusa Wetland,Colusa,Wetland,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,73447200,19851058.93,99.99509876,27.02765923,
TNC,Colusa Suitable-unassigned,Colusa,Suitable-unassigned,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,155699100,10700793.75,97.25929591,6.87273963,
TNC,Colusa Vineyard/Orchard,Colusa,Vineyard/Orchard,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,706835700,17078328.21,93.35885911,2.416166616,
TNC,Delta Unsuitable,Delta,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,1373795100,248889579.7,91.56874049,18.11693605,
TNC,Delta Grass/Pasture,Delta,Grass/Pasture,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,1856970900,13171379.73,89.41576643,0.709293815,
TNC,Delta Corn,Delta,Corn,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,526728600,114317747.5,95.33671835,21.70334922,
TNC,Delta Field Crop,Delta,Field Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,92183400,6486975.893,87.99786934,7.037032582,
TNC,Delta Grains,Delta,Grains,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,237750300,13013882.95,96.32272508,5.473760894,
TNC,Delta Alfalfa,Delta,Alfalfa,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,510687000,28639697.32,94.20896216,5.608072522,
TNC,Delta Rice,Delta,Rice,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,23484600,6200421.429,100,26.40207382,
TNC,Delta Row Crop,Delta,Row Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,57494700,8018625.893,99.34993235,13.94672186,
TNC,Delta Wetland,Delta,Wetland,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,41987700,8715812.321,90.25536854,20.75801323,
TNC,Delta Suitable-unassigned,Delta,Suitable-unassigned,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,264701700,24319503.48,93.0707889,9.187513145,
TNC,Delta Vineyard/Orchard,Delta,Vineyard/Orchard,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,1359705600,61625594.29,97.90031791,4.532274802,
TNC,San Joaquin Unsuitable,San Joaquin,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,1598170500,143010528.8,100,8.948389972,
TNC,San Joaquin Grass/Pasture,San Joaquin,Grass/Pasture,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,3728095200,29953031.25,100,0.803440622,
TNC,San Joaquin Corn,San Joaquin,Corn,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,370019700,8941238.036,100,2.416422162,
TNC,San Joaquin Field Crop,San Joaquin,Field Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,456514200,12317988.75,100,2.698270667,
TNC,San Joaquin Grains,San Joaquin,Grains,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,284574600,5098642.5,100,1.791671674,
TNC,San Joaquin Alfalfa,San Joaquin,Alfalfa,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,900882900,6493533.75,100,0.720796648,
TNC,San Joaquin Rice,San Joaquin,Rice,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,20500200,1805400,100,8.806743349,
TNC,San Joaquin Row Crop,San Joaquin,Row Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,269076600,11773920,100,4.375675923,
TNC,San Joaquin Wetland,San Joaquin,Wetland,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,309544200,16088688.75,100,5.19754166,
TNC,San Joaquin Suitable-unassigned,San Joaquin,Suitable-unassigned,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,490571100,10350443.57,100,2.10987634,
TNC,San Joaquin Vineyard/Orchard,San Joaquin,Vineyard/Orchard,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,3088564200,22210466.25,100,0.719119462,
TNC,Suisun Unsuitable,Suisun,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,138350700,121144186.3,66.99892347,87.56311774,
TNC,Suisun Grass/Pasture,Suisun,Grass/Pasture,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,21508200,561913.125,11.91046963,2.612553003,
TNC,Suisun Corn,Suisun,Corn,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,0,NA,NA,NA,
TNC,Suisun Field Crop,Suisun,Field Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,396900,54554.46429,26.25,13.74514091,
TNC,Suisun Grains,Suisun,Grains,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,313200,23496.42857,3.184771667,7.502052545,
TNC,Suisun Alfalfa,Suisun,Alfalfa,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,0,NA,NA,NA,
TNC,Suisun Wetland,Suisun,Wetland,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,198912600,65470968.75,99.30535586,32.91444019,
TNC,Suisun Suitable-unassigned,Suisun,Suitable-unassigned,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,3807900,264880.1786,27.24930766,6.956069712,
TNC,Suisun Vineyard/Orchard,Suisun,Vineyard/Orchard,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,839700,135515.3571,46.93158954,16.13854438,
TNC,Sutter Unsuitable,Sutter,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,137141100,18151084.82,100,13.23533559,
